bjd,rv,e_rv,pre_rv,pre_e_rv,sn18,sn102,exptime,berv,qprog,airmass,filename,dLW,e_dLW,crx,e_crx,ln_order_center,irt_ind1,irt_ind1_e,irt_ind2,irt_ind2_e,irt_ind3,irt_ind3_e,ha_ind,ha_ind_e,NaD1_ind_v,NaD1_ind_e,NaD2_ind_v,NaD2_ind_e,rvccfsum,rvccfsumerr,rvccfmod,rvccfmoderr,driftfun
2459691.743419072,0.8414209303234674,6.9189859286592865,,,5.13981548953188,9.902716500753549,599.768053,-5.01742546313037,2022A-970114,1.9861,../input_example/TIC 288735205/neidL2_20220422T054537.fits,5.454883239036702,14.65874547320735,-148.97408019837414,58.62474438635815,[,0.8048364816421357,0.0104516372066031,0.7208519352668957,0.013736373049402846,0.7387443284398298,0.014185400345080966,0.7890285631313985,0.008809644792220883,0.4511985883166089,0.013773848553910107,0.5691097732961297,0.014158019307331696,-40.8360175363527,0.005944970157495919,-40.83208679794259,0.006122142975801861,dailymodel0
2459691.750682437,-3.620160897752312,6.94193373127005,,,5.087755330217601,9.849431459229681,600.000634,-5.016633948968327,2022A-970114,1.9583,../input_example/TIC 288735205/neidL2_20220422T055605.fits,6.907188850738107,14.696149562757281,-39.52625134857904,65.34309973770968, ,0.8384133127348387,0.010674411767793478,0.6788174964889302,0.013382913409416778,0.7468164498258826,0.014266496686538063,0.8254130175528303,0.00907134002919009,0.46647938578878323,0.013931355529567707,0.5626598350516352,0.014344980077155362,-40.83090403119023,0.005985525189998226,-40.8291906235217,0.006152013736402559,dailymodel0
2459691.7680256865,5.3163935791783254,8.14209881794803,,,4.299500000575654,8.684694892013713,599.74827,-5.015365891369625,2022A-970114,1.8946,../input_example/TIC 288735205/neidL2_20220422T062103.fits,86.3564170205341,17.189481060861933,7.385794930720978,58.36994979211032, ,0.8136298619987031,0.0119197279396693,0.6976365959154147,0.015617439256001788,0.7194067764160754,0.015910612518731947,0.8144950490662701,0.010502969980565055,0.4747613293404566,0.016383396828091305,0.5813248816868946,0.016899742643124067,-40.83992610018971,0.006544690479233528,-40.83108180027776,0.006801929473341467,dailymodel0
2459691.775288947,19.823966254019588,7.363424173997773,,,4.854691734414493,9.36930784959226,600.000654,-5.015095182904794,2022A-970114,1.8693,../input_example/TIC 288735205/neidL2_20220422T063131.fits,57.97395976146289,15.540933181934168,21.655964957354566,53.572560117521505, ,0.845824061657747,0.011297016663576586,0.7340008655953498,0.015028224650673761,0.7308599713706498,0.014653085619377665,0.8210722778065569,0.009645882281906049,0.4509392667787184,0.01434559792746967,0.5694766630506187,0.014995907311395872,-40.81287536828508,0.006086910020985314,-40.81544065076847,0.006301957190750936,dailymodel0
2459691.7825536625,0.31211407914702743,6.209660495331518,,,5.792449480441131,11.015980339131566,600.000574,-5.014977470254459,2022A-970114,1.8446,../input_example/TIC 288735205/neidL2_20220422T064159.fits,15.450290072238783,13.103907516332546,-66.05793170336555,49.582527903188186, ,0.8199112490026442,0.009644562022292408,0.6829437709325819,0.012108114100588784,0.7450817501111254,0.012479055661576805,0.8076957361588495,0.008112632363485651,0.4592110384685165,0.012334560452833277,0.5714822026824753,0.012714540604039839,-40.83208586542505,0.005483652458495658,-40.83035938131131,0.005664625708292351,dailymodel0
2459691.789818371,-2.2054509148402,5.7604449420976085,,,6.30307626823222,11.740354955316075,600.001263,-5.015011916834101,2022A-970114,1.8208,../input_example/TIC 288735205/neidL2_20220422T065226.fits,-4.397674761847284,12.164500294533816,50.88258482258738,53.69753230377544, ,0.8397471449394903,0.009194949431767439,0.688605568675531,0.011407689681612099,0.7361642456486888,0.011686087034366077,0.806974027586974,0.007561467100559645,0.44767291651924895,0.011163644648233955,0.5564883619954477,0.011630797292381295,-40.82628636432766,0.005202549221527045,-40.82582715595036,0.005360222156650413,dailymodel0
2459691.7970830873,13.115862340106542,6.611036771556903,,,5.39120172002202,10.339097999931097,600.001183,-5.015197297339469,2022A-970114,1.7977,../input_example/TIC 288735205/neidL2_20220422T070254.fits,3.0551277538078607,14.0049840739568,29.5913047170917,63.43068323430282, ,0.8095691521568764,0.010210957481499288,0.6881590219899385,0.013140393588092896,0.7254070042404821,0.013057670577769983,0.7991717711296716,0.008669144807209749,0.48319576876897263,0.013284802402227016,0.5875185378077149,0.013731717499901552,-40.80362688503596,0.005657625820612906,-40.80739813681387,0.005861407377370858,dailymodel0
2459691.8043478155,23.81219881642738,8.249165202671634,,,4.182001847614412,8.289463037857205,600.001247,-5.01553207113702,2022A-970114,1.7754,../input_example/TIC 288735205/neidL2_20220422T071322.fits,50.961588794911805,17.486344556242802,70.14176495995095,68.76155441868455,-,0.7964854742784354,0.012598059618981305,0.6707309747403531,0.015729408413664735,0.757356758195445,0.01666870767950974,0.8195510178859224,0.010778652983381893,0.45434423071785607,0.016892590869501265,0.530527610073218,0.017294050925322987,-40.80375832471713,0.006460281936369231,-40.80794143105339,0.006713425956034308,dailymodel0
2459691.811612532,28.11589054367411,9.542914610665445,,,3.600015666604017,7.062177999273574,600.001212,-5.016014382563475,2022A-970114,1.7539,../input_example/TIC 288735205/neidL2_20220422T072349.fits,107.51427987552503,20.11455573607408,18.605569276167643,71.01823076166274,i,0.8345291075944199,0.014789463974862329,0.6738906419662657,0.019428634036495415,0.7428740584513712,0.019848651413029345,0.7907231820733703,0.012584276888185133,0.47860170569828914,0.020130640658415144,0.5561429520772845,0.020141233745639656,-40.8012981606707,0.007059340413986402,-40.80574753007202,0.007398983332430097,dailymodel0
2459691.8188772528,19.149774867470054,7.5464805057665645,,,4.613929228401968,8.587850972322784,600.00207,-5.016642068680906,2022A-970114,1.7333,../input_example/TIC 288735205/neidL2_20220422T073417.fits,27.63493407956658,15.956504397505302,-8.78306582632426,64.94052327238947,n,0.8077549429009869,0.012115304497206748,0.683562096896038,0.015424302819994252,0.7297063044511692,0.01621506033592983,0.8095207299642774,0.010157655595452352,0.46707077957671517,0.015339025127741475,0.5884446124289338,0.015938802270183666,-40.82540549408843,0.006128272986885978,-40.82507541510185,0.006366928690929105,dailymodel0
